# Name,Eg,axx,ayy,azz
7-0,0.45,376,376,24
8-0,0.56,444,444,30
10-0,0.90,615,615,42
10-0,0.76,174.7,174.7,10.3
11-0,0.811,171.6,171.6,12.1
13-0,0.622,292.4,292.4,15.8
14-0,0.682,268.3,268.3,17.9
16-0,0.540,445.5,445.5,22.4
17-0,0.590,401.4,401.4,24.9
19-0,1.01,49.1,49.1,4.2
